Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (1005),2670000000,8920,3673.76,5.18,300610000,200020000,-100880000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,841374016,0.9344,-5.9666,2.631,-44197000,92711000,-25625000
MLOVE FP Equity,4SERVICE CLOUD TECH AG, , , , , , , 
BARZ US Equity,5BARZ INTERNATIONAL INC,4559887,34.6561,-157.1561,0.0802,-8553617,2826267, 
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,20871828,4.7517,-123.2981,2.688,-7994636,0,-273859
EGHT US Equity,8X8 INC,357843008,0,-2.0489,3.9363,-15308000,30491000,-15918000
ATEN US Equity,A10 NETWORKS INC,217963008,0,-7.1674,2.0621,-13892000,64998000,-4839000
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
ACIA US Equity,ACACIA COMMUNICATIONS INC,592801024,0,26.1169,5.9526,73454000,87125000,-15018000
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACNV US Equity,ACCELERA INNOVATIONS INC,5389,19511.5059,-21007.5527,0,-522445,0,0
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ACIW US Equity,ACI WORLDWIDE INC,1814888960,38.1382,2.1377,1.1575,96946000,143854000,-24949000
ACMR US Equity,ACM RESEARCH INC-CLASS A,61056000,5.7046, ,2.724, , , 
ACFN US Equity,ACORN ENERGY INC,9079000,3.8551,-5.0119,1.2717,-1729000,526000,0
ACTA US Equity,ACTUA CORP,401728992,0,20.478,5.0156,-36796000,19180000,-1110000
ADEA US Equity,ADEIA INC,1099696000,52.7925,-8.8047,3.1509,-61003000,93905000,-3321000
ADBE US Equity,ADOBE INC,14535556096,12.9436,12.4405,2.0547,2168095008,1224058976,-178122000
ADTN US Equity,ADTRAN HOLDINGS INC,695558016,3.853,6.2943,3.3554,46070000,131022000,-21061000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,3585999872,39.7658,-1.5274,1.6964,119000000,1124000000,-90000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6177458,0,30.7908,3.0582,3031419, ,-113069
AEHR US Equity,AEHR TEST SYSTEMS,31599000,19.3361,-22.7693,3.7584,-4187000,4552000,-640000
AGHC US Equity,AEON GLOBAL HEALTH CORP,15852221,16.0558,-100.0611,0.2286,-7168360, ,-6654
AERS US Equity,AERIUS INC, , , , , , , 
1918511D US Equity,AEROHIVE NETWORKS INC,134149000,14.9088,-19.5468,2.1872,-26281000,38079000,-934000
AFTM US Equity,AFTERMASTER INC,1723092,420.1062,-425.4915,0.1196,-4723440,156636,-96489
AGNUQ US Equity,AG&E HOLDINGS INC,5747000,15.1209,-35.5101,1.6805,-1672000,0,-7000
AIFS US Equity,AGENT INFORMATION SOFTWARE I, , , , , , , 
AGYS US Equity,AGILYSYS INC,155696992,0.124,-8.0902,1.5674,-13091000,28686000,-16533000
AJX CN Equity,AGJUNCTION INC,40544000,0,-6.8685,5.5417,-5781903,7699709,-481038
AIRG US Equity,AIRGAIN INC,55965680,2.978,3.8998,5.0127,1630162,7036323,-195922
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC,4057619,24.2072,-150.1729,1.2306,-9277622,2146816,-87892
AKAM US Equity,AKAMAI TECHNOLOGIES INC,4509133824,14.5733,6.3972,3.0113,411846000,209516000,-383864000
ALAN US Equity,ALANCO TECHNOLOGIES INC,3407200,22.0122,-51.0261,0.0245,-1750100,0,-5000
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,46332512,26.8138,1.5328,1.1747,1312091, ,-321384
EDGW US Equity,ALITHYA USA INC,99672000,5.0165,-6.968,2.4406,-4003000,0,-166000
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,239128992,42.3123,6.8463,1.4132,12695000, ,-9288000
ADGL US Equity,ALLDIGITAL HOLDINGS INC,1516803,146.259,-163.3461,1.4001,-1807460,0, 
ADSV US Equity,ALLIED SECURITY INNOVATIONS,835739,1274.8563,173.4423,0.0195,-296084,90271,0
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,492582016,0.3037,3.5919,2.8751,13992000,31141000,-57766000
ALTR US Equity,ALTAIR ENGINEERING INC - A,301494016,30.5432, ,0.518,-22100000,87110000, 
